YearsProgr,PersonalProj,Gender,WorkType,Company,Supervising,Studies,RelativeComp,AnnualNetSalary,Employer,Employee,observation_count
1,No,Man,Hybrid,51to100,No,Bachelor,Yes,11200,Greece,Greece,1
2,No,Man,Remote,501plus,Yes,Bachelor,Yes,15000,Greece,Greece,1
2,No,Man,Remote,501plus,Yes,Bachelor,Yes,18500,Greece,Greece,1
1,No,Man,Hybrid,101to200,No,High School,Other,11800,Greece,Greece,2
10,No,Man,Remote,11to50,No,Bachelor,Yes,25200,Greece,Greece,2
5,No,Woman,Onsite,1to10,No,Bachelor,Yes,14000,Greece,Greece,3
8,Yes,Man,Remote,201to500,Yes,Bachelor,Other,40000,Abroad,Greece,2
5,Yes,Man,Hybrid,201to500,No,Master,Yes,60000,Abroad,Greece,5
3,Yes,Man,Remote,51to100,No,Bachelor,Yes,36000,Abroad,Greece,3
6,No,Man,Remote,11to50,No,Bachelor,Yes,19938,Greece,Greece,1
4,Yes,Man,Hybrid,51to100,No,Bachelor,Yes,21000,Greece,Greece,2
3,Yes,Man,Remote,51to100,No,Master,Yes,17800,Abroad,Greece,4
1,No,Man,Hybrid,1to10,No,Bachelor,Yes,7200,Greece,Greece,3
2,No,Man,Remote,101to200,No,Bachelor,Yes,50,Abroad,Greece,1
5,Yes,Man,Remote,11to50,Yes,Bachelor,Yes,17920,Greece,Greece,1
2,Yes,Man,Remote,11to50,No,Bachelor,Other,14000,Greece,Greece,2
6,No,Man,Remote,1to10,No,High School,Other,18200,Greece,Greece,1
